King Rabbit HX-960N	rabbit_base1	King Rabbit	HX-960N	960	214
Liyu TC-AA ARMS	Liyu_MM_base	Liyu	TC-AA ARMS	1260	96
Liyu DC-AF ARMS	Liyu_MM_base	Liyu	DC-AF ARMS	1260	96
Liyu HC-AF ARMS	Liyu_MM_base	Liyu	HC-AF ARMS	1260	96

Liyu TC-AA	Liyu_A04a_Base	Liyu	TC-AA	1260	112
Liyu DC-AF	Liyu_A04a_Base	Liyu	DC-AF	1260	112
Liyu HC-AF	Liyu_A04a_Base	Liyu	HC-AF	1260	112

Liyu LY-TA	Liyu_A05a_base	Liyu	LY-TA	1260	112

Liyu SC-AM	Liyu_A06V2m_base	Liyu	SC-AM	1260	48
Liyu SC-A	Liyu_A06V2m_base	Liyu	SC-A	1260	48

Liyu TC 	Liyu_A04a_38400_Base	Liyu	TC 	1260	112
Liyu MC	Liyu_A04a_38400_Base	Liyu	MC	1260	112
Liyu SC	Liyu_A04a_9600_Base	Liyu	SC	1260	112
Liyu HF	Liyu_A04a_9600_Base	Liyu	HF	1260	112
MKCUTTER MH1200	mika_base	MKCUTTER	MH1200	1200	1104
MKCUTTER MH900	mika_base	MKCUTTER	MH900	900	1104
MKCUTTER MH630	mika_base	MKCUTTER	MH630	630	1104

MKCUTTER MK1200	mika_mk_base	MKCUTTER	MK1200	1200	1104
MKCUTTER MK900	mika_mk_base	MKCUTTER	MK900	900	1104
MKCUTTER MK630	mika_mk_base	MKCUTTER	MK630	630	1104

MKCUTTER MG1200	mika_base	MKCUTTER	MG1200	1200	1104
MKCUTTER MG900	mika_base	MKCUTTER	MG900	900	1104
MKCUTTER MG630	mika_base	MKCUTTER	MG630	630	1104

MKCUTTER MF1200	mika_base	MKCUTTER	MF1200	1200	1104
MKCUTTER MF900	mika_base	MKCUTTER	MF900	900	1104
MKCUTTER MF630	mika_base	MKCUTTER	MF630	630	1104


MKCUTTER MX1200	jkmm_base	MKCUTTER	MX1200	1200	96
MKCUTTER MX900	jkmm_base	MKCUTTER	MX900	900	96
MKCUTTER MX630	jkmm_base	MKCUTTER	MX630	630	96
MKCUTTER MS1200	jkmm_base	MKCUTTER	MS1200	1200	96
MKCUTTER MS900	jkmm_base	MKCUTTER	MS900	900	96
MKCUTTER MS630	jkmm_base	MKCUTTER	MS630	630	96


Moritzu MZ-EC30	COTEK_Man_Base	Moritzu	MZ-EC30	297	80
Moritzu MZ-EC63	COTEK_Man_Base	Moritzu	MZ-EC63	630	80
Moritzu MZ-EC125	COTEK_Man_Base	Moritzu	MZ-EC125	1250	80
Moritzu MZ4-20	COTEK_Man_Base	Moritzu	MZ4-20	297	80
Moritzu MZ4-35	COTEK_Man_Base	Moritzu	MZ4-35	630	80
Moritzu MZ4-55	COTEK_Man_Base	Moritzu	MZ4-55	1250	80
Moritzu UC-300E	COTEK_Man_Base	Moritzu	UC-300E	297	80
Moritzu UC-700E	COTEK_Man_Base	Moritzu	UC-700E	630	80
Moritzu UC-1350E	COTEK_Man_Base	Moritzu	UC-1350E	1250	80
Moritzu UC-300EG	COTEK_Man_Base	Moritzu	UC-300EG	297	80
Moritzu UC-700EG	COTEK_Man_Base	Moritzu	UC-700EG	630	80
Moritzu UC-1350EG	COTEK_Man_Base	Moritzu	UC-1350EG	1250	80
Moritzu MEX-350	COTEK_Man_Base	Moritzu	MEX-350	297	80
Moritzu MEX-750	COTEK_Man_Base	Moritzu	MEX-750	630	80
Moritzu MEX-1500	COTEK_Man_Base	Moritzu	MEX-1500	1250	80
Moritzu GR-390	COTEK_Man_Base	Moritzu	GR-390	297	80
Moritzu GR-790	COTEK_Man_Base	Moritzu	GR-790	630	80
Moritzu GR-1390	COTEK_Man_Base	Moritzu	GR-1390	1250	80
Moritzu TIT-700	COTEK_Man_Base	Moritzu	TIT-700	630	80
Moritzu TIT-1500	COTEK_Man_Base	Moritzu	TIT-1500	1250	80
Mycut MG1500	Mycut_ARMS_base	Mycut	MG1500	1500	240
Mycut MG1200	Mycut_ARMS_base	Mycut	MG1200	1200	240
Mycut MG630	Mycut_ARMS_base	Mycut	MG630	630	240
Mycut MG330	Mycut_ARMS_base	Mycut	MG330	330	240

Mycut MH1500	Mycut_Manual_base	Mycut	MH1500	1500	80
Mycut MH1200	Mycut_Manual_base	Mycut	MH1200	1200	80
Mycut MH630	Mycut_Manual_base	Mycut	MH630	630	80
Mycut MH330	Mycut_Manual_base	Mycut	MH330	330	80

Mycut MS1500	Mycut_Manual_base	Mycut	MS1500	1500	80
Mycut MS1200	Mycut_Manual_base	Mycut	MS1200	1200	80
Mycut MS630	Mycut_Manual_base	Mycut	MS630	630	80

Mycut MS1500G	Mycut_ARMS_base	Mycut	MS1500G	1500	240
Mycut MS1200G	Mycut_ARMS_base	Mycut	MS1200G	1200	240
Mycut MS630G	Mycut_ARMS_base	Mycut	MS630G	630	240

Mycut MK1500	Mycut_Manual_base	Mycut	MK1500	1500	80
Mycut MK1200	Mycut_Manual_base	Mycut	MK1200	1200	80
Mycut MK630	Mycut_Manual_base	Mycut	MK630	630	80
Mycut MK330	Mycut_Manual_base	Mycut	MK330	330	80

MyCut MG1500M	jkmm_base	Mycut	MG1500M	1500	96
MyCut MG1200M	jkmm_base	Mycut	MG1200M	1200	96
MyCut MG630M	jkmm_base	Mycut	MG630M	630	96
